phase,experiment,model,stage,runtime,host,git_hash,path,top1,size_mb
phase_4,phase_4_compression_and_final_architecture,mixed_alexnet_bottleneck,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/mixed_alexnet_bottleneck_meta.json,44.77,
phase_4,phase_4_compression_and_final_architecture,mixed_alexnet_depthwisesep,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/mixed_alexnet_depthwisesep_meta.json,44.35,
phase_4,phase_4_compression_and_final_architecture,mixed_alexnet_fire,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/mixed_alexnet_fire_meta.json,44.79,
phase_4,phase_4_compression_and_final_architecture,ternary_qat_alexnet_bottleneck,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/ternary_qat_alexnet_bottleneck_meta.json,31.44,
phase_4,phase_4_compression_and_final_architecture,ternary_qat_alexnet_depthwisesep,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/ternary_qat_alexnet_depthwisesep_meta.json,15.33,
phase_4,phase_4_compression_and_final_architecture,ternary_qat_alexnet_final_fire_residual,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/ternary_qat_alexnet_final_fire_residual_meta.json,36.59,
phase_4,phase_4_compression_and_final_architecture,ternary_qat_alexnet_fire,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/ternary_qat_alexnet_fire_meta.json,32.96,
phase_4,phase_4_compression_and_final_architecture,ternary_qat_mobilenetv2,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/ternary_qat_mobilenetv2_meta.json,14.39,
phase_8,phase_8_efficient_vit,deit_tiny,fp32,notebooks,,,outputs/notebooks/phase_8_efficient_vit/deit_tiny_meta.json,46.45,33.2
phase_8,phase_8_efficient_vit,deit_tiny,qat,notebooks,,,outputs/notebooks/phase_8_efficient_vit/qat_deit_tiny_meta.json,48.62,33.42
phase_8,phase_8_efficient_vit,vit_tiny,fp32,notebooks,,,outputs/notebooks/phase_8_efficient_vit/vit_tiny_meta.json,40.48,33.2
phase_8,phase_8_efficient_vit,vit_tiny,qat,notebooks,,,outputs/notebooks/phase_8_efficient_vit/qat_vit_tiny_meta.json,43.24,33.42
,fire_bypass_large_scale,alexnet_fire_bypass,fp32/qat/int8,pcad,,,outputs/pcad/phase_9_bypass_ablation/fire_bypass_large_scale/alexnet_fire_bypass/results/alexnet_fire_bypass_summary.json,50.46,0.5543060302734375
phase_6,phase_6_hardware_profiling,(sweep),profile,pcad,NVIDIA GeForce RTX 4090,,outputs/pcad/phase_6_hardware_profiling/backfill/nvidia_geforce_rtx_4090_tupi5_profile.json,,
phase_6,phase_6_hardware_profiling,(sweep),profile,pcad,NVIDIA GeForce RTX 4090,,outputs/pcad/phase_6_hardware_profiling/runs/nvidia_geforce_rtx_4090_tupi5_profile.json,,
phase_6,phase_6_hardware_profiling,(sweep),profile,pcad,NVIDIA GeForce GTX 1080 Ti,,outputs/pcad/phase_6_hardware_profiling/runs/nvidia_geforce_gtx_1080_ti_beagle_profile.json,,
