phase,model_name,avg_epoch_time_s,best_val_loss,best_val_top1,best_val_top5,compression_ratio,epochs,final_train_loss,final_val_top1,final_val_top5,flops,fp32_latency_ms_per_image,fp32_loss,fp32_size_mb,fp32_throughput_img_per_s,fp32_top1,fp32_top1_top5_gap,fp32_top5,int8_latency_ms_per_image,int8_loss,int8_size_mb,int8_throughput_img_per_s,int8_top1,int8_top1_top5_gap,int8_top5,macs,mode,param_efficiency_top1_per_m,params_m,peak_gpu_mem_mb,quantization_drop_top1,total_training_time_s
Phase 2 — AlexNet Variants,alexnet_mixed,20.944988834097032,inf,38.7,64.76,11.75486500152136,45,3.2025988018868827,38.22,64.43,161585152,0.0987146687999484,2.6837058067321777,6.67979621887207,10130.206707440451,38.74005675315857,26.085716485977173,64.82577323913574,0.4766147202994034,2.724204540252685,1.705047607421875,2098.130748819114,37.99386024475098,25.80820322036743,63.80206346511841,80792576,fp32+qat+int8,22.113982436812297,1.750024,932.548828125,0.7461965084075928,21.53603482246399
Phase 2 — AlexNet Variants,alexnet_small_kernel,23.74463478848338,inf,45.84,70.95,11.757101052618715,62,2.861518645354389,45.3,71.3,920358912,0.1524154766993888,2.3493072986602783,6.1177717844645185,6561.01349846718,45.836564898490906,25.24037063121796,71.07693552970886,1.7417037838000398,3.1117703914642334,1.5610408782958984,574.1504435491353,36.16283535957336,25.440478324890137,61.6033136844635,460179456,fp32+qat+int8,28.60751783601352,1.602376,1038.20849609375,9.673729538917542,24.23272156715393
Phase 2 — AlexNet Variants,alexnet_stacked,57.93596058475728,2.870623937225342,45.31,70.97,11.947471170065793,92,2.5931334119094047,45.26,71.17,1012170752,0.1428968373998941,2.35379695892334,230.7653350830078,6998.055507705315,45.21975517272949,25.74096918106079,70.96072435379028,1.8061527960999229,2.511702537536621,57.94155311584473,553.663013538682,42.30971932411194,26.035797595977783,68.34551692008972,506085376,fp32+qat+int8,0.7491240324544802,60.483976,2011.45068359375,2.9100358486175537,896.4323410987854
Phase 2 — AlexNet Variants,alexnet_tv,48.91297875691767,3.4011261268615725,32.26,57.65,11.959571185676774,67,3.439386321843773,32.2,57.45,189736832,0.1004399479999847,3.0082573890686035,220.58328819274902,9956.197906436111,32.20268785953522,25.405195355415344,57.60788321495056,0.5203079427999909,3.3020150661468506,55.33261299133301,1921.9387553812628,26.27626061439514,25.47598481178284,51.75224542617798,94868416,fp32+qat+int8,0.5579071667378029,57.82324,1957.52685546875,5.926427245140076,2734.5363073349
Phase 3 — Compensation,alexnet_bottleneck,23.38464493323595,inf,44.68,70.95,10.402858947684615,76,2.911853408745648,43.94,70.52,79024128,0.1051132665998011,2.362962484359741,1.5106220245361328,9513.546979824256,44.62297856807709,26.413360238075256,71.03633880615234,0.4239879050997842,2.3611302375793457,0.4317798614501953,2358.557845570272,44.539082050323486,26.475447416305546,71.01452946662903,39512064,fp32+qat+int8,116.05194805194805,0.385,146.84814453125,0.083896517753601,27.80499815940857
Phase 3 — Compensation,alexnet_depthwisesep,24.13477941149289,inf,44.48,69.41,9.14062895122312,95,3.0455058314552685,44.29,69.58,39516160,0.1008718614000827,2.4159719944000244,1.2304954528808594,9913.567432187589,44.39001083374024,25.05560517311096,69.4456160068512,0.3802813987997069,2.555845260620117,0.3997554779052734,2629.631644241156,41.46906137466431,25.52374601364136,66.99280738830566,19758080,fp32+qat+int8,141.8181934122133,0.313641,121.56884765625,2.920949459075928,28.63119506835937
Phase 3 — Compensation,alexnet_factorized,59.8345720522544,inf,43.04,68.85,11.944247726894677,66,2.244311676849512,42.47,67.82,492732416,0.1493185491999611,2.497375965118408,217.72975158691406,6697.091589477219,42.890143394470215,26.02401971817017,68.91416311264038,1.2919605581999347,2.5493292808532715,54.68311500549317,774.0174370286363,42.59788990020752,25.20061731338501,67.79850721359253,246366208,fp32+qat+int8,0.7542043739648089,57.06676,1203.14453125,0.2922534942626953,61.9495849609375
Phase 3 — Compensation,alexnet_fire,31.755966749597103,3.007565963745117,44.07,70.4,10.862694972654534,41,3.051670052588071,44.03,70.79,355340288,0.1507235211996885,2.4098563194274902,2.009584426879883,6634.664530396244,43.976473808288574,26.45511031150818,70.43158411979675,0.9699905761000992,2.384477138519287,0.5513744354248047,1030.9378509846513,44.30399537086487,26.57766342163086,70.88165879249573,177670144,fp32+qat+int8,85.38182550876485,0.516152,402.4462890625,-0.3275215625762939,1494.1414999961853
Phase 3 — Compensation,alexnet_gap,23.04509404989389,3.233675733947754,38.86,64.84,11.81315118073368,33,3.168313457989591,38.69,65.37,333975552,0.1006684325999231,2.6885793209075928,8.790210088094076,9933.600575407823,38.73852789402008,26.093199849128723,64.8317277431488,0.7889059016000829,2.77510666847229,2.232311248779297,1267.578297958945,37.599918246269226,25.36757290363312,62.96749114990234,166987776,fp32+qat+int8,16.873760304022955,2.302984,105.9853515625,1.1386096477508545,900.89364361763
Phase 3 — Compensation,alexnet_groupconv,45.206814894112206,inf,29.21,57.05,11.953839548285544,91,3.532194875721233,29.14,56.9,197525504,0.0972111867005878,3.078163385391236,213.33652687072754,10286.881931397642,29.18199896812439,27.885955572128296,57.067954540252686,0.6069150019997324,3.1615710258483887,53.538496017456055,1647.6771816565526,27.70700454711914,27.3901104927063,55.09711503982544,98762752,fp32+qat+int8,0.5223556785444972,55.919752,1087.07861328125,1.474994421005249,46.881614446640015
Phase 3 — Compensation,alexnet_residual,61.89915706129635,2.8179981494903563,48.06,73.07,11.951491165185953,62,2.280252645653308,47.83,73.25,1041498112,0.1551939773999038,2.247621774673462,231.49182891845703,6443.549013652767,48.01293909549713,25.09540021419525,73.10833930969238,2.038125913099793,2.31097149848938,58.10271072387695,490.64682097049456,47.2737044095993,25.225844979286197,72.4995493888855,520749056,fp32+qat+int8,0.792150621358596,60.67028,1182.28857421875,0.7392346858978271,638.5349838733673
Phase 3 — Compensation,alexnet_se,48.82184954484304,5.298736163330078,0.43,1.94,,0,5.298447366798586,0.31,1.74,444987392,0.1006246377000934,5.298777580261231,219.9145908355713,9937.923980212963,0.4999999888241291,1.999999862164259,2.499999850988388,,,,,,,,222493696,fp32+qat+int8,0.0074592834147447,57.646288,1122.060546875,,297.8844792842865
