device,kernel_size,in_ch,out_ch,batch_size,input_resolution,precision,groups_mode,latency_median_ms,latency_mean_ms,latency_std_ms,n,cudnn_kernel_name
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,128.0,fp32,dense,0.06886482238769531,0.06886482238769531,,1,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,128.0,fp32,depthwise,0.05903363227844238,0.05903363227844238,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,8.0,64.0,fp32,dense,0.1323390007019043,0.1323390007019043,,1,_5x_cudnn_ampere_scudnn_128x64_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,8.0,64.0,fp32,depthwise,0.11619210243225098,0.11619210243225098,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,8.0,128.0,fp32,dense,0.7036662101745605,0.7036662101745605,,1,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,8.0,128.0,fp32,depthwise,0.5544066429138184,0.5544066429138184,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,64.0,64.0,fp32,dense,1.207507848739624,1.207507848739624,,1,_5x_cudnn_ampere_scudnn_128x64_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,64.0,64.0,fp32,depthwise,1.0893440246582031,1.0893440246582031,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,64.0,128.0,fp32,dense,5.059784650802612,5.059784650802612,,1,_5x_cudnn_ampere_scudnn_128x64_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,64.0,128.0,fp32,depthwise,4.378509521484375,4.378509521484375,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,128.0,128.0,1.0,64.0,fp32,dense,0.06556868553161621,0.06556868553161621,,1,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4>(cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4::Params)
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,128.0,128.0,1.0,64.0,fp32,depthwise,0.030434131622314453,0.030434131622314453,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,128.0,128.0,1.0,64.0,fp32_cpu,dense,1.08451247215271,1.08451247215271,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,128.0,128.0,1.0,64.0,fp32_cpu,depthwise,0.18494009971618652,0.18494009971618652,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,128.0,128.0,1.0,64.0,int8,dense,0.9535062313079834,0.9535062313079834,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,128.0,128.0,1.0,64.0,int8,depthwise,3.212571144104004,3.212571144104004,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,128.0,128.0,1.0,128.0,fp32,dense,0.20449042320251465,0.20449042320251465,,1,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
