kernel_size,in_ch,out_ch,batch_size,input_resolution,fp32,int8,overhead_ratio
7.0,16.0,16.0,1.0,64.0,0.031684041023254395,0.031710267066955566,1.000827736704479
7.0,16.0,16.0,1.0,128.0,0.04491090774536133,0.04490852355957031,0.9999469129903913
7.0,16.0,16.0,8.0,64.0,0.08504331111907959,0.08497118949890137,0.9991519424722629
7.0,16.0,16.0,8.0,128.0,0.376359224319458,0.37625908851623535,0.9997339355680634
7.0,32.0,32.0,1.0,64.0,0.03670930862426758,0.036615729331970215,0.997450802104306
7.0,32.0,32.0,1.0,128.0,0.049985647201538086,0.04996776580810547,0.9996422694426558
7.0,32.0,32.0,8.0,64.0,0.0923377275466919,0.09229958057403564,0.9995868755527153
7.0,32.0,32.0,8.0,128.0,0.34496188163757324,0.34612178802490234,1.0033624190064794
7.0,64.0,64.0,1.0,64.0,0.039403438568115234,0.03867626190185547,0.9815453500332789
7.0,64.0,64.0,1.0,128.0,0.08502066135406494,0.08509397506713867,1.0008623046669611
7.0,64.0,64.0,8.0,64.0,0.4417407512664795,0.44159770011901855,0.9996761649292015
7.0,64.0,64.0,8.0,128.0,1.7615723609924316,1.7621153593063354,1.0003082463859718
7.0,128.0,128.0,1.0,64.0,0.0866013765335083,0.08658409118652344,0.9998004033229405
7.0,128.0,128.0,1.0,128.0,0.31616926193237305,0.3160250186920166,0.9995437784195881
7.0,128.0,128.0,8.0,64.0,0.624740719795227,0.6253588199615479,1.0009893707048956
7.0,128.0,128.0,8.0,128.0,2.589990496635437,2.5906753540039062,1.0002644246646306
9.0,16.0,16.0,1.0,64.0,0.04448294639587402,0.04448235034942627,0.9999866005627763
9.0,16.0,16.0,1.0,128.0,0.1569730043411255,0.15673577785491943,0.9984887434167309
9.0,16.0,16.0,8.0,64.0,0.139198899269104,0.1392728090286255,1.0005309651147356
9.0,16.0,16.0,8.0,128.0,0.5373352766036987,0.537179708480835,0.999710482207967
9.0,32.0,32.0,1.0,64.0,0.03928422927856445,0.03928482532501221,1.000015172664927
9.0,32.0,32.0,1.0,128.0,0.07399976253509521,0.0741112232208252,1.0015062303163085
9.0,32.0,32.0,8.0,64.0,0.14100193977355957,0.14110684394836426,1.0007439910044724
9.0,32.0,32.0,8.0,128.0,0.5421853065490723,0.5429637432098389,1.001435739130817
9.0,64.0,64.0,1.0,64.0,0.059380531311035156,0.05939185619354248,1.000190717096282
9.0,64.0,64.0,1.0,128.0,0.13431251049041748,0.13433635234832764,1.0001775103288824
9.0,64.0,64.0,8.0,64.0,0.7075482606887817,0.7074862718582153,0.9999123892545421
9.0,64.0,64.0,8.0,128.0,2.8315895795822144,2.831588387489319,0.9999995790022311
9.0,128.0,128.0,1.0,64.0,0.1365751028060913,0.13674259185791016,1.0012263512776312
9.0,128.0,128.0,1.0,128.0,0.5123138427734375,0.5122947692871094,0.9999627699180939
9.0,128.0,128.0,8.0,64.0,1.0161983966827393,1.0162162780761719,1.0000175963606035
9.0,128.0,128.0,8.0,128.0,4.155585169792175,4.156113862991333,1.000127224729504
11.0,16.0,16.0,1.0,64.0,0.06241023540496826,0.062294602394104004,0.9981472107881995
11.0,16.0,16.0,1.0,128.0,0.22823214530944824,0.22827327251434326,1.0001801990023766
11.0,16.0,16.0,8.0,64.0,0.20088672637939453,0.20092904567718506,1.000210662489022
11.0,16.0,16.0,8.0,128.0,0.7834100723266602,0.7829815149307251,0.9994529590426859
11.0,32.0,32.0,1.0,64.0,0.0546872615814209,0.05470752716064453,1.0003705722070844
11.0,32.0,32.0,1.0,128.0,0.10493576526641846,0.10493755340576172,1.0000170403230846
11.0,32.0,32.0,8.0,64.0,0.20243704319000244,0.20233631134033203,0.9995024040655649
11.0,32.0,32.0,8.0,128.0,0.7875365018844604,0.7883024215698242,1.0009725513465484
11.0,64.0,64.0,1.0,64.0,0.08458614349365234,0.0844717025756836,0.9986470488753594
11.0,64.0,64.0,1.0,128.0,0.19561231136322021,0.19558489322662354,0.9998598342997657
11.0,64.0,64.0,8.0,64.0,1.0361868143081665,1.0358059406280518,0.999632427594276
11.0,64.0,64.0,8.0,128.0,4.1336590051651,4.131208062171936,0.9994070766383726
11.0,128.0,128.0,1.0,64.0,0.19886493682861328,0.19906878471374512,1.0010250569476082
11.0,128.0,128.0,1.0,128.0,0.7580083608627319,0.7581549882888794,1.0001934377425343
11.0,128.0,128.0,8.0,64.0,1.5079104900360107,1.5076106786727905,0.9998011742970148
11.0,128.0,128.0,8.0,128.0,6.119369864463806,6.120015978813171,1.0001055851114864
