phase,model_name,fp32_top1,fp32_top5,int8_top1,int8_top5,quantization_drop_top1,fp32_size_mb,int8_size_mb,params_m,macs,fp32_latency_ms_per_image,fp32_throughput_img_per_s,param_efficiency_top1_per_m,total_training_time_s,avg_epoch_time_s,peak_gpu_mem_mb
Phase 3 — Compensation,alexnet_groupconv,29.18199896812439,57.067954540252686,27.70700454711914,55.09711503982544,1.474994421005249,213.33652687072754,53.538496017456055,55.919752,98762752.0,0.0972111867005878,10286.881931397642,0.5223556785444972,46.881614446640015,45.206814894112206,1087.07861328125
Phase 3 — Compensation,alexnet_depthwisesep,44.39001083374024,69.4456160068512,41.46906137466431,66.99280738830566,2.920949459075928,1.2304954528808594,0.3997554779052734,0.313641,19758080.0,0.1008718614000827,9913.567432187589,141.8181934122133,28.63119506835937,24.13477941149289,121.56884765625
Phase 4 — Final Architecture,alexnet_final_bottleneck_residual,45.09960114955902,71.15118503570557,45.980674028396606,72.3289430141449,-0.8810728788375854,2.236154556274414,0.6376895904541016,0.571304,54175744.0,0.0897753727000235,11138.912264295588,78.97721703331325,934.4068028926848,24.55457015413987,187.15087890625
Phase 4 — Final Architecture,alexnet_final_bottleneck_fire,42.28608012199402,68.53951215744019,44.00103688240051,70.15194892883301,-1.714956760406494,1.9724140167236328,0.5452156066894531,0.506408,47282176.0,0.0916699548997712,10908.699596213017,83.56897995292334,836.8068904876709,22.713448524475098,146.7470703125
Phase 4 — Final Architecture,alexnet_final_depthwise_fire,43.45587491989136,69.02325749397278,42.78924763202667,68.95307302474976,0.6666272878646851,1.8476314544677734,0.5093898773193359,0.474921,30080000.0,0.0923571510000328,10827.531914660767,91.65734932757238,1640.651290178299,21.5528185649922,105.54833984375
Phase 4 — Final Architecture,alexnet_final_fire_residual,49.79329109191895,74.80218410491943,49.20102655887604,74.38758611679077,0.5922645330429077,2.7145843505859375,0.7463092803955078,0.698664,55236608.0,0.0898766203001287,11126.364082902302,71.25027194760285,1729.1136257648468,22.4185618734979,142.38525390625
Phase 9 — PCAD Bypass Ablation,alexnet_fire_bypass,50.5710244178772,74.8999834060669,49.86463785171509,74.56404566764832,0.7063865661621094,2.008546829223633,0.5543060302734375,0.516152,177670144.0,0.2005216223187744,4986.993364786736,97.761899595468,5918.036756038666,34.04457764956303,402.37353515625
Phase 8 — Efficient ViT / Hybrid-Attention,hybrid_bottleneck_swin,40.23293852806091,66.65456891059875,40.17736613750458,66.35429859161377,0.0555723905563354,1.049203872680664,0.5417499542236328,0.267824,30319360.0,0.1897288266569376,5270.680357962537,150.0612342433837,5156.457615852356,35.1991016552366,135.3408203125
Phase 8 — Efficient ViT / Hybrid-Attention,swin_pico_poolmixer,30.9815526008606,57.59775638580322,30.75965046882629,57.83723592758179,0.2219021320343017,0.8857622146606445,0.3046274185180664,0.227768,21191424.0,0.2069668395444751,4831.691889391344,135.97169049207966,4833.757519245148,33.457952012618385,112.5673828125
Phase 8 — Efficient ViT / Hybrid-Attention,swin_pico_w2,32.947224378585815,59.96630787849426,33.25328826904297,60.45393943786621,-0.3060638904571533,1.2498903274536133,0.6686086654663086,0.321188,30923520.0,0.315420479408931,3170.3711879263774,102.46335479532236,9368.333796739578,63.56220307966479,128.8359375
Phase 8 — Efficient ViT / Hybrid-Attention,swin_pico_w4,33.526986837387085,60.73084473609924,33.88566076755524,61.19742393493652,-0.3586739301681518,1.2590456008911133,0.6777639389038086,0.321668,31808256.0,0.2388101452961564,4187.426789426667,104.39334966487183,9009.73948597908,62.40360305209955,136.4697265625
Phase 8 — Efficient ViT / Hybrid-Attention,swin_pico_w8,36.74735724925995,63.50542306900024,36.99183166027069,63.92589211463928,-0.2444744110107422,1.3842897415161133,0.8030691146850586,0.32378,35347200.0,0.2231159348040819,4481.974812234276,113.50299586138736,4839.189845323563,33.24531285680573,165.23828125
Phase 8 — Efficient ViT / Hybrid-Attention,vit_tiny,40.34560322761536,65.57807326316833,42.44071841239929,66.37983918190002,-2.0951151847839355,10.553442001342773,5.65813,,,,,,,,
Phase 8 — Efficient ViT / Hybrid-Attention,deit_tiny,46.38412296772003,72.08863496780396,47.66133725643158,71.33820056915283,-1.277214288711548,10.553442001342773,5.658298,,,,,,,,
